HOSTNAME	DEVICE_ID	MODEL	IMEI
U26-K01	R3CN70B4EHA	SM-N981N	355347580354039
U26-K01	R3CN70BRKFX	SM-N981N	355347580392062
U26-K01	R3CN70QWVBZ	SM-N981N	355347581698533
U26-K01	R3CN70STGLR	SM-N981N	355347581911530
U26-K01	R3CN70V88DL	SM-N981N	355347582146052
U26-K01	R3CN802CCKJ	SM-N981N	355347582645822
U26-K01	R3CN807BQXA	SM-N981N	355347583155029
U26-K01	R3CN808P0DH	SM-N981N	358660700657843
U26-K01	R3CN80ABGBZ	SM-N981N	355347583449893
U26-K01	R3CN80BJLBY	SM-N981N	355347583648619
U26-K01	R3CN80C6LGY	SM-N981N	355347583773300
U26-K01	R3CN80CRN5A	SM-N981N	355347583827825
U26-K01	R3CN80DABKK	SM-N981N	358660700882813
U26-K01	R3CN80L8MFP	SM-N981N	358660701155805
U26-K01	R3CN80N1B0K	SM-N981N	355347584769026
U26-K01	R3CN80TYZWL	SM-N981N	358660701304163
U26-K01	R3CN80VVHRH	SM-N981N	355347585787795
U26-K01	R3CN80Y136H	SM-N981N	355347585928472
U26-K01	R3CN80YVNQE	SM-N981N	355347586107712
U26-K01	R3CNB0BA9BD	SM-N981N	355347588227864
U26-K02	R3CN70DE33H	SM-N981N	355347580488092
U26-K02	R3CN8007YVE	SM-N981N	355347582218372
U26-K02	R3CN804E2XT	SM-N981N	355347582851164
U26-K02	R3CN804EJBJ	SM-N981N	355347582856254
U26-K02	R3CN804FT9V	SM-N981N	355347582870099
U26-K02	R3CN806LEET	SM-N981N	355347583112608
U26-K02	R3CN80BZDSB	SM-N981N	355347583694860
U26-K02	R3CN80DPSTK	SM-N981N	355347583919473
U26-K02	R3CN80DYZAB	SM-N981N	355347583956327
U26-K02	R3CN80ENFGH	SM-N981N	355347583990375
U26-K02	R3CN80ERL9D	SM-N981N	355347584024620
U26-K02	R3CN80EV07Z	SM-N981N	355347584031575
U26-K02	R3CN80EVACT	SM-N981N	355347584034926
U26-K02	R3CN80JN2RR	SM-N981N	355347584337089
U26-K02	R3CN80KSEJK	SM-N981N	355347584486357
U26-K02	R3CN80LBQHV	SM-N981N	355347584538074
U26-K02	R3CN80LYXSF	SM-N981N	355347584591198
U26-K02	R3CN80WVNWP	SM-N981N	358660701382466
U26-K02	R3CN80YJWYL	SM-N981N	355347586076743
U26-K02	R3CN80YVC0H	SM-N981N	355347586104172
U26-K03	R3CR70LXDVH	SM-F711N	350923220552466
U26-K03	R3CR8043TRW	SM-F711N	350923221100455
U26-K03	R3CR809XPQK	SM-F711N	357335600372386
U26-K03	R3CR80CL6BZ	SM-F711N	351003240702489
U26-K03	R3CRA0C46DV	SM-F711N	350923222310251
U26-K03	R3CRA0KEJ2X	SM-F711N	Unknown/NoRoot
U26-K03	R3CRC0F2MQE	SM-F711N	357335602378720
U26-K03	R3CT10N026A	SM-F711N	Unknown/NoRoot
U26-K03	R5CR70TJ3HV	SM-F711N	354903970046915
U26-K03	R5CR7111XPR	SM-F711N	Unknown/NoRoot
U26-K03	R5CR802VDNK	SM-F711N	354903970712433
U26-K03	R5CR8118JAN	SM-F711N	354903972059411
U26-K03	R5CR81533CM	SM-F711N	354903972170085
U26-K03	R5CR81P9NKF	SM-F711N	Unknown/NoRoot
U26-K03	R5CR91SHKDK	SM-F711N	354903973968719
U26-K03	R5CR92N6SXK	SM-F711N	354903974136753
U26-K03	R5CRA28DR5D	SM-F711N	354903975747483
U26-K03	R5CRA28FVHV	SM-F711N	354903975770378
U26-K03	R5CRC3C2TQD	SM-F711N	354903977833083
U26-K03	R5CR81Q9VDD	SM-F711N	Unknown/NoRoot
U26-K04 R3CR70D35BR	SM-F711N	350923220352214
U26-K04 R3CR70G062K	SM-F711N	350923220406366
U26-K04 R3CR70HRRXF	SM-F711N	350923220454671
U26-K04 R3CR70RRYYL	SM-F711N	350923220914096
U26-K04 R3CR80HP0SV	SM-F711N	351003241012581
U26-K04 R3CR80N1M0V	SM-F711N	357335600953649
